INFO:19/08/2018 20:57:51, Programa lanzado. Datos: Número de genes: 20, Probabilidad de mutación: 0.2, Genes seleccionados: 8
INFO:20/08/2018 10:57:12, Seleccionadoss 5 y 0
INFO:20/08/2018 10:57:12, Copio 6
INFO:20/08/2018 10:57:12, Copio 8
INFO:20/08/2018 10:57:12, Generación completada 5
INFO:20/08/2018 10:58:42, Copio 2
INFO:20/08/2018 10:58:42, Copio 1
INFO:20/08/2018 10:58:42, Copio 4
INFO:20/08/2018 10:58:43, Copio 0
INFO:20/08/2018 10:58:43, Fitness: #### [118, 96, 93, 92]
INFO:20/08/2018 10:58:43, Renumbering...
INFO:20/08/2018 10:58:43, 4 genes have been renumbered.
INFO:20/08/2018 10:58:43, Copio 0
INFO:20/08/2018 10:58:43, Copio 3
INFO:20/08/2018 10:58:43, Seleccionadoss 0 y 3
INFO:20/08/2018 10:58:43, Copio 4
INFO:20/08/2018 10:58:43, Copio 1
INFO:20/08/2018 10:58:43, Seleccionadoss 4 y 1
INFO:20/08/2018 10:58:43, Copio 5
INFO:20/08/2018 10:58:43, Copio 3
INFO:20/08/2018 10:58:43, Seleccionadoss 5 y 3
INFO:20/08/2018 10:58:43, Copio 2
INFO:20/08/2018 10:58:43, Copio 6
INFO:20/08/2018 10:58:43, Seleccionadoss 2 y 6
INFO:20/08/2018 10:58:43, Copio 3
INFO:20/08/2018 10:58:43, Copio 7
INFO:20/08/2018 10:58:43, Seleccionadoss 3 y 7
INFO:20/08/2018 10:58:43, Copio 3
INFO:20/08/2018 10:58:43, Copio 4
INFO:20/08/2018 10:58:43, Seleccionadoss 3 y 4
INFO:20/08/2018 10:58:44, Copio 6
INFO:20/08/2018 10:58:44, Copio 4
INFO:20/08/2018 10:58:44, Generación completada 6
INFO:20/08/2018 11:00:18, Copio 11
INFO:20/08/2018 11:00:18, Copio 1
INFO:20/08/2018 11:00:18, Copio 2
INFO:20/08/2018 11:00:18, Copio 9
INFO:20/08/2018 11:00:18, Fitness: #### [125, 109, 106, 102]
INFO:20/08/2018 11:00:18, Renumbering...
INFO:20/08/2018 11:00:18, 4 genes have been renumbered.
INFO:20/08/2018 11:00:18, Copio 0
INFO:20/08/2018 11:00:18, Copio 1
INFO:20/08/2018 11:00:19, Seleccionadoss 0 y 1
INFO:20/08/2018 11:00:19, Copio 3
INFO:20/08/2018 11:00:19, Copio 0
INFO:20/08/2018 11:00:19, Seleccionadoss 3 y 0
INFO:20/08/2018 11:00:19, Copio 4
INFO:20/08/2018 11:00:19, Copio 0
INFO:20/08/2018 11:00:19, Seleccionadoss 4 y 0
INFO:20/08/2018 11:00:19, Copio 6
INFO:20/08/2018 11:00:19, Copio 2
INFO:20/08/2018 11:00:19, Seleccionadoss 6 y 2
INFO:20/08/2018 11:00:19, Copio 4
INFO:20/08/2018 11:00:19, Copio 1
INFO:20/08/2018 11:00:19, Seleccionadoss 4 y 1
INFO:20/08/2018 11:00:19, Copio 4
INFO:20/08/2018 11:00:19, Copio 5
INFO:20/08/2018 11:00:19, Seleccionadoss 4 y 5
INFO:20/08/2018 11:00:19, Copio 0
INFO:20/08/2018 11:00:19, Copio 4
INFO:20/08/2018 11:00:19, Generación completada 7
INFO:20/08/2018 11:02:21, Copio 11
INFO:20/08/2018 11:02:21, Copio 4
INFO:20/08/2018 11:02:21, Copio 8
INFO:20/08/2018 11:02:21, Copio 5
INFO:20/08/2018 11:02:21, Fitness: #### [150, 133, 129, 119]
INFO:20/08/2018 11:02:21, Renumbering...
INFO:20/08/2018 11:02:21, 4 genes have been renumbered.
INFO:20/08/2018 11:02:21, Copio 2
INFO:20/08/2018 11:02:21, Copio 3
INFO:20/08/2018 11:02:21, Seleccionadoss 2 y 3
INFO:20/08/2018 11:02:21, Copio 3
INFO:20/08/2018 11:02:21, Copio 4
INFO:20/08/2018 11:02:21, Seleccionadoss 3 y 4
INFO:20/08/2018 11:02:21, Copio 5
INFO:20/08/2018 11:02:21, Copio 5
INFO:20/08/2018 11:02:21, Seleccionadoss 5 y 5
INFO:20/08/2018 11:02:21, Copio 0
INFO:20/08/2018 11:02:21, Copio 4
INFO:20/08/2018 11:02:22, Seleccionadoss 0 y 4
INFO:20/08/2018 11:02:22, Copio 5
INFO:20/08/2018 11:02:22, Copio 6
INFO:20/08/2018 11:02:22, Seleccionadoss 5 y 6
INFO:20/08/2018 11:02:22, Copio 3
INFO:20/08/2018 11:02:22, Copio 8
INFO:20/08/2018 11:02:22, Seleccionadoss 3 y 8
INFO:20/08/2018 11:02:22, Copio 0
INFO:20/08/2018 11:02:22, Copio 4
INFO:20/08/2018 11:02:22, Generación completada 8
INFO:20/08/2018 11:04:00, Copio 8
INFO:20/08/2018 11:04:00, Copio 0
INFO:20/08/2018 11:04:00, Copio 3
INFO:20/08/2018 11:04:00, Copio 1
INFO:20/08/2018 11:04:00, Fitness: #### [170, 119, 113, 98]
INFO:20/08/2018 11:04:00, Renumbering...
INFO:20/08/2018 11:04:00, 4 genes have been renumbered.
INFO:20/08/2018 11:04:00, Copio 0
INFO:20/08/2018 11:04:00, Copio 0
INFO:20/08/2018 11:04:01, Seleccionadoss 0 y 0
INFO:20/08/2018 11:04:01, Copio 3
INFO:20/08/2018 11:04:01, Copio 3
INFO:20/08/2018 11:04:01, Seleccionadoss 3 y 3
INFO:20/08/2018 11:04:01, Copio 2
INFO:20/08/2018 11:04:01, Copio 0
INFO:20/08/2018 11:04:01, Seleccionadoss 2 y 0
INFO:20/08/2018 11:04:01, Copio 0
INFO:20/08/2018 11:04:01, Copio 3
INFO:20/08/2018 11:04:01, Seleccionadoss 0 y 3
INFO:20/08/2018 11:04:01, Copio 6
INFO:20/08/2018 11:04:01, Copio 7
INFO:20/08/2018 11:04:01, Seleccionadoss 6 y 7
INFO:20/08/2018 11:04:01, Copio 5
INFO:20/08/2018 11:04:01, Copio 2
INFO:20/08/2018 11:04:01, Seleccionadoss 5 y 2
INFO:20/08/2018 11:04:01, Copio 7
INFO:20/08/2018 11:04:01, Copio 1
INFO:20/08/2018 11:04:02, Generación completada 9
INFO:20/08/2018 11:05:59, Copio 10
INFO:20/08/2018 11:05:59, Copio 3
INFO:20/08/2018 11:05:59, Copio 1
INFO:20/08/2018 11:05:59, Copio 2
INFO:20/08/2018 11:05:59, Fitness: #### [208, 137, 122, 111]
INFO:20/08/2018 11:05:59, Renumbering...
INFO:20/08/2018 11:05:59, 4 genes have been renumbered.
INFO:20/08/2018 11:05:59, Copio 1
INFO:20/08/2018 11:05:59, Copio 3
INFO:20/08/2018 11:06:00, Seleccionadoss 1 y 3
INFO:20/08/2018 11:06:00, Copio 1
INFO:20/08/2018 11:06:00, Copio 3
INFO:20/08/2018 11:06:00, Seleccionadoss 1 y 3
INFO:20/08/2018 11:06:00, Copio 4
INFO:20/08/2018 11:06:00, Copio 4
INFO:20/08/2018 11:06:00, Seleccionadoss 4 y 4
INFO:20/08/2018 11:06:00, Copio 5
INFO:20/08/2018 11:06:00, Copio 6
INFO:20/08/2018 11:06:00, Seleccionadoss 5 y 6
INFO:20/08/2018 11:06:00, Copio 0
INFO:20/08/2018 11:06:00, Copio 0
INFO:20/08/2018 11:06:00, Seleccionadoss 0 y 0
INFO:20/08/2018 11:06:00, Copio 1
INFO:20/08/2018 11:06:00, Copio 2
INFO:20/08/2018 11:06:00, Seleccionadoss 1 y 2
INFO:20/08/2018 11:06:00, Copio 4
INFO:20/08/2018 11:06:00, Copio 5
INFO:20/08/2018 11:06:01, Generación completada 10
INFO:20/08/2018 11:07:52, Copio 1
INFO:20/08/2018 11:07:52, Copio 8
INFO:20/08/2018 11:07:53, Copio 3
INFO:20/08/2018 11:07:53, Copio 4
INFO:20/08/2018 11:07:53, Fitness: #### [199, 143, 121, 101]
INFO:20/08/2018 11:07:53, Renumbering...
INFO:20/08/2018 11:07:53, 4 genes have been renumbered.
INFO:20/08/2018 11:07:53, Copio 3
INFO:20/08/2018 11:07:53, Copio 3
INFO:20/08/2018 11:07:53, Seleccionadoss 3 y 3
INFO:20/08/2018 11:07:53, Copio 1
INFO:20/08/2018 11:07:53, Copio 3
INFO:20/08/2018 11:07:53, Seleccionadoss 1 y 3
INFO:20/08/2018 11:07:53, Copio 2
INFO:20/08/2018 11:07:53, Copio 4
INFO:20/08/2018 11:07:53, Seleccionadoss 2 y 4
INFO:20/08/2018 11:07:53, Copio 6
INFO:20/08/2018 11:07:53, Copio 2
INFO:20/08/2018 11:07:53, Seleccionadoss 6 y 2
INFO:20/08/2018 11:07:53, Copio 1
INFO:20/08/2018 11:07:53, Copio 5
INFO:20/08/2018 11:07:53, Seleccionadoss 1 y 5
INFO:20/08/2018 11:07:53, Copio 1
INFO:20/08/2018 11:07:53, Copio 5
INFO:20/08/2018 11:07:53, Seleccionadoss 1 y 5
INFO:20/08/2018 11:07:53, Copio 3
INFO:20/08/2018 11:07:53, Copio 7
INFO:20/08/2018 11:07:53, Generación completada 11
INFO:20/08/2018 11:09:33, Copio 2
INFO:20/08/2018 11:09:33, Copio 8
INFO:20/08/2018 11:09:33, Copio 3
INFO:20/08/2018 11:09:33, Copio 10
INFO:20/08/2018 11:09:33, Fitness: #### [166, 113, 102, 92]
INFO:20/08/2018 11:09:33, Renumbering...
INFO:20/08/2018 11:09:33, 4 genes have been renumbered.
INFO:20/08/2018 11:09:33, Copio 2
INFO:20/08/2018 11:09:33, Copio 1
INFO:20/08/2018 11:09:33, Seleccionadoss 2 y 1
INFO:20/08/2018 11:09:33, Copio 2
INFO:20/08/2018 11:09:33, Copio 1
INFO:20/08/2018 11:09:33, Seleccionadoss 2 y 1
INFO:20/08/2018 11:09:33, Copio 4
INFO:20/08/2018 11:09:33, Copio 4
INFO:20/08/2018 11:09:33, Seleccionadoss 4 y 4
INFO:20/08/2018 11:09:34, Copio 0
INFO:20/08/2018 11:09:34, Copio 4
INFO:20/08/2018 11:09:34, Seleccionadoss 0 y 4
INFO:20/08/2018 11:09:34, Copio 5
INFO:20/08/2018 11:09:34, Copio 3
INFO:20/08/2018 11:09:34, Seleccionadoss 5 y 3
INFO:20/08/2018 11:09:34, Copio 8
INFO:20/08/2018 11:09:34, Copio 3
INFO:20/08/2018 11:09:34, Seleccionadoss 8 y 3
INFO:20/08/2018 11:09:34, Copio 2
INFO:20/08/2018 11:09:34, Copio 2
INFO:20/08/2018 11:09:34, Generación completada 12
INFO:20/08/2018 11:11:26, Copio 1
INFO:20/08/2018 11:11:26, Copio 7
INFO:20/08/2018 11:11:27, Copio 4
INFO:20/08/2018 11:11:27, Copio 0
INFO:20/08/2018 11:11:27, Fitness: #### [149, 148, 126, 116]
INFO:20/08/2018 11:11:27, Renumbering...
INFO:20/08/2018 11:11:27, 4 genes have been renumbered.
INFO:20/08/2018 11:11:27, Copio 1
INFO:20/08/2018 11:11:27, Copio 0
INFO:20/08/2018 11:11:27, Seleccionadoss 1 y 0
INFO:20/08/2018 11:11:27, Copio 1
INFO:20/08/2018 11:11:27, Copio 3
INFO:20/08/2018 11:11:27, Seleccionadoss 1 y 3
INFO:20/08/2018 11:11:27, Copio 2
INFO:20/08/2018 11:11:27, Copio 5
INFO:20/08/2018 11:11:27, Seleccionadoss 2 y 5
INFO:20/08/2018 11:11:27, Copio 2
INFO:20/08/2018 11:11:27, Copio 1
INFO:20/08/2018 11:11:27, Seleccionadoss 2 y 1
INFO:20/08/2018 11:11:27, Copio 7
INFO:20/08/2018 11:11:27, Copio 5
INFO:20/08/2018 11:11:27, Seleccionadoss 7 y 5
INFO:20/08/2018 11:11:27, Copio 8
INFO:20/08/2018 11:11:27, Copio 0
INFO:20/08/2018 11:11:27, Seleccionadoss 8 y 0
